# nodes = 100
0,1,1
0,2,1
0,3,1
0,10,1
0,15,1
0,26,1
0,28,1
0,29,1
0,32,1
0,41,1
0,58,1
0,66,1
0,71,1
0,84,1
0,89,1
0,90,1
0,94,1
0,95,1
0,97,1
1,2,1
1,4,1
1,5,1
1,6,1
1,8,1
1,15,1
1,17,1
1,21,1
1,34,1
1,41,1
1,47,1
1,74,1
2,3,1
2,7,1
2,8,1
2,9,1
2,11,1
2,18,1
2,27,1
2,42,1
2,51,1
2,52,1
2,59,1
2,60,1
2,64,1
2,65,1
2,76,1
2,88,1
3,4,1
3,6,1
3,7,1
3,13,1
3,14,1
3,26,1
3,30,1
3,34,1
3,40,1
3,44,1
3,46,1
3,48,1
3,56,1
3,60,1
3,70,1
3,90,1
3,91,1
4,5,1
4,8,1
4,11,1
4,12,1
4,14,1
4,19,1
4,20,1
4,21,1
4,23,1
4,31,1
4,35,1
4,38,1
4,39,1
4,48,1
4,49,1
4,53,1
4,57,1
4,74,1
4,85,1
4,87,1
4,93,1
5,6,1
5,9,1
5,11,1
5,14,1
5,15,1
5,19,1
5,23,1
5,24,1
5,31,1
5,42,1
5,65,1
5,69,1
6,7,1
6,12,1
6,13,1
6,18,1
6,24,1
6,27,1
6,42,1
6,61,1
6,74,1
6,79,1
6,81,1
6,89,1
6,91,1
7,10,1
7,17,1
7,25,1
7,33,1
7,36,1
7,56,1
7,59,1
7,71,1
7,73,1
7,79,1
7,81,1
7,86,1
7,98,1
8,16,1
8,19,1
8,22,1
8,28,1
8,39,1
8,47,1
8,54,1
9,11,1
9,19,1
9,50,1
9,52,1
9,54,1
10,36,1
10,71,1
11,16,1
11,20,1
11,31,1
11,49,1
11,51,1
11,69,1
12,22,1
12,25,1
12,80,1
13,40,1
13,41,1
15,26,1
15,28,1
16,22,1
16,28,1
16,32,1
16,35,1
16,37,1
16,43,1
16,62,1
16,70,1
16,92,1
17,25,1
17,30,1
17,34,1
17,43,1
17,77,1
18,20,1
18,42,1
18,75,1
19,45,1
19,54,1
19,69,1
19,78,1
19,82,1
20,33,1
20,39,1
20,62,1
20,63,1
20,87,1
20,99,1
22,44,1
22,62,1
22,72,1
23,24,1
23,45,1
23,49,1
23,58,1
24,87,1
25,80,1
26,29,1
26,34,1
26,60,1
26,67,1
26,73,1
26,77,1
26,79,1
28,35,1
28,36,1
28,37,1
28,54,1
28,57,1
28,75,1
28,78,1
28,82,1
29,73,1
29,81,1
30,43,1
30,48,1
30,55,1
30,56,1
30,76,1
30,90,1
31,40,1
32,86,1
32,93,1
33,62,1
33,92,1
34,38,1
34,67,1
34,72,1
35,37,1
35,46,1
35,53,1
36,37,1
36,66,1
36,67,1
37,82,1
37,96,1
39,99,1
40,44,1
41,53,1
41,58,1
41,83,1
42,55,1
42,61,1
42,76,1
42,96,1
43,50,1
44,72,1
45,63,1
45,64,1
45,80,1
48,57,1
48,85,1
48,97,1
52,94,1
54,78,1
54,82,1
54,84,1
54,85,1
55,56,1
57,61,1
57,78,1
57,97,1
58,59,1
58,68,1
61,96,1
63,68,1
63,98,1
70,95,1
71,84,1
76,83,1
76,88,1
79,91,1
79,98,1
81,99,1
83,88,1
84,85,1
86,93,1
